ID,First Name,Last Name,Phone,LTV
4.576,Sophia,Walker,602-310-9331,"0,47"
9.488,Evelyn,Harris,171-363-6978,"0,36"
7.265,Lucas,Foster,139-658-8905,"0,43"
8.555,Elijah,Jones,538-241-9868,"0,35"
7.023,Mason,Taylor,937-595-5837,"0,31"
3.412,Gabriel,Harris,821-585-8990,"0,41"
8.225,Daniel,Wallace,434-144-2215,"0,43"
8.699,Victoria,Perry,295-543-5452,"0,17"
3.328,Samuel,Martinez,573-597-7252,"0,47"
9.460,Andrew,Perry,870-961-7105,"0,12"
2.452,Ava,Mitchell,677-742-5739,"0,25"
5.094,Joseph,Smith,785-583-7448,"0,10"
2.068,Sofia,Alexander,676-675-3583,"0,27"
5.425,Noah,Alexander,452-664-5404,"0,15"
3.077,Elizabeth,Simmons,632-552-1332,"0,48"
9.593,Logan,Wallace,480-894-8885,"0,24"
4.880,Evelyn,Wallace,470-387-1141,"0,22"
4.497,Joseph,Miller,764-258-2121,"0,35"
7.001,Lucas,Walker,179-216-8788,"0,80"
1.090,Matthew,Johnson,693-494-3915,"0,43"
8.681,Logan,Garcia,926-185-8311,"0,66"
1.235,Evelyn,Taylor,136-380-8351,"0,20"
3.928,Evelyn,Brown,711-524-1294,"0,39"
7.796,Chloe,Brown,470-387-1556,"0,42"
8.322,Olivia,Lewis,303-701-1709,"0,95"
1.219,Chloe,Taylor,738-644-1923,"0,83"
1.407,Amelia,Parker,558-644-1923,"0,41"
8.217,Oliver,Garcia,539-506-1276,"0,39"
7.806,Oliver,Martinez,303-701-1966,"0,35"
6.949,James,Brown,154-725-7274,"0,33"
6.506,Emma,Watson,230-569-5755,"0,13"
2.549,Emily,Harris,120-569-5755,"0,49"
9.774,Samuel,Brown,241-516-3052,"0,95"
6.181,Chloe,Morales,947-469-3576,"0,32"
6.359,Grace,Hernandez,806-853-4805,"0,15"
2.903,Evelyn,Jones,919-550-2537,"0,19"
3.718,Olivia,Smith,744-101-7533,"0,35"
7.062,Chloe,Bailey,360-301-9881,"0,25"
5.081,Grace,Ramirez,821-939-9428,"0,41"
8.119,Oliver,Alexander,194-804-6491,"0,19"
3.731,Matthew,Garcia,964-817-4113,"0,42"
8.485,Madison,Martinez,888-713-1906,"0,41"
8.292,Daniel,Garcia,507-312-5844,"0,13"
2.637,Oliver,Griffin,721-704-6434,"0,27"
5.403,Elijah,Griffin,749-765-4950,"0,42"
8.350,Gabriel,Russell,874-802-4369,"0,12"
2.434,Andrew,Thomas,856-675-5033,"0,11"
2.217,Mia,Powell,645-644-9772,"0,75"
1.135,Sofia,Thomas,645563-9772,"0,23"
4.628,Emma,Brown,878-494-8953,"0,38"
7.562,Elizabeth,Bailey,668-480-8987,"0,46"
9.122,Evelyn,Moore,413-483-2006,"0,37"
7.409,Olivia,Morales,518-953-8154,"0,20"
3.922,Benjamin,Smith,821-718-6210,"0,73"
1.129,Noah,Parker,818-830-3242,"0,38"
7.687,Avery,Griffin,164-774-3876,"0,25"
5.061,Michael,Watson,233-842-9555,"0,12"
2.396,Benjamin,Hall,702-493-6243,"0,18"
3.687,Emily,Griffin,520-360-7046,"0,34"
6.833,Charlotte,Bryant,690-682-8735,"0,65"
1.109,Elijah,Perry,537-119-4498,"0,31"
6.251,Sophia,Bailey,846-512-5905,"0,22"
4.440,Liam,Johnson,765-459-7558,"0,45"
9.092,Aiden,Simmons,593-704-5158,"0,27"
5.490,Madison,Griffin,524-270-5671,"0,15"
3.033,Henry,Russell,111-574-8474,"0,12"
2.400,Emma,Bryant,743-754-6655,"0,09"
1.854,Mason,Young,525-922-6046,"0,23"
4.580,Avery,Bailey,389-228-7481,"0,20"
3.922,Victoria,Smith,556-228-7481,"0,49"
9.864,Joseph,Perry,141-915-1427,"0,49"
9.719,Mia,Thomas,800-639-3964,"0,28"
5.637,Chloe,Miller,224-816-6593,"0,39"
7.784,Gabriel,Brown,725-849-2639,"0,36"
7.269,Elizabeth,Bailey,757-931-2873,"0,34"
6.705,Evelyn,Parker,563-304-8915,"0,46"
9.277,Oliver,Clark,398-618-4734,"0,18"
3.557,Lucas,Powell,542-721-1764,"0,38"
7.526,Michael,Miller,521-118-8555,"0,37"
7.436,Olivia,Morales,870-649-7677,"0,41"
8.170,Elizabeth,Griffin,361-899-1129,"0,14"
2.716,Sofia,Smith,847-119-7055,"0,20"
3.941,Harper,Taylor,466-951-4844,"0,41"
8.175,Elijah,Taylor,577-931-8142,"0,33"
6.531,Joseph,Perez,491-419-6205,"0,24"
4.820,Henry,Diaz,595-178-2151,"0,27"
5.308,David,Russell,665-984-9223,"0,35"
6.952,Isabella,Moore,730-828-9264,"0,42"
8.313,Gabriel,Simmons,825-219-2881,"0,39"
7.861,Evelyn,Jones,272-833-2881,"0,29"
5.834,Logan,Young,481-716-4306,"0,14"
2.824,James,Perez,515-976-4631,"0,47"
9.478,Noah,Lewis,298-111-7118,"0,64"
1.529,Andrew,Mitchell,617-761-3552,"0,39"
7.770,Samuel,Harris,677-146-7144,"0,11"
2.229,Emma,Simmons,613-834-3513,"0,25"
5.039,Ava,Brown,170-576-6081,"0,11"
2.263,Victoria,Smith,971-297-2895,"0,46"
9.232,Lucas,Perry,534-290-4258,"0,45"
8.922,Joseph,Mitchell,534-290-4259,"0,45"
9.088,Noah,Wilson,950-177-2278,"0,29"
5.872,David,Wallace,291-575-5549,"0,30"
6.011,Charlotte,Taylor,801-925-4301,"0,30"
6.075,Noah,Taylor,428-227-2000,"0,15"
2.960,Chloe,Walker,228-491-9301,"0,31"
6.107,Evelyn,Scott,956-348-5636,"0,17"
3.339,Aiden,Foster,691-432-2013,"0,40"
8.031,Grace,Brown,199-896-2460,"0,38"
7.665,Amelia,Simmons,308-316-5573,"0,22"
4.434,Mia,Reyes,327-269-5346,"0,25"
4.906,Liam,Parker,876-467-5966,"0,42"
8.418,Grace,Scott,453-677-9548,"0,49"
9.775,Harper,Diaz,270-974-7064,"0,34"
6.736,Charlotte,Martinez,385-739-7441,"0,24"
4.701,Noah,Bryant,681-493-6121,"0,44"
8.714,Avery,Foster,952-298-9230,"0,20"
